formulas,mpid,Wf,label,A-A,A-B,A-C,B-B,B-C,C-C,lattice constant,N,k,n_A,n_B,n_C,ionic r_A,ionic r_B,ionic r_C,electronegativity_A,electronegativity_B,electronegativity_C,r_A,r_B,r_C,m_A,m_B,m_C,group_A,group_B,group_C,period_A,period_B,period_C,absolute boiling point_A,absolute boiling point_B,absolute boiling point_C,absolute melting point_A,absolute melting point_B,absolute melting point_C,covalent r_A,covalent r_B,covalent r_C,s_A,s_B,s_C,p_A,p_B,p_C,d_A,d_B,d_C,electron affinity_A,electron affinity_B,electron affinity_C,first ionization energy_A,first ionization energy_B,first ionization energy_C,heat of fusion_A,heat of fusion_B,heat of fusion_C,heat of vaporization_A,heat of vaporization_B,heat of vaporization_C,polarizability_A,polarizability_B,polarizability_C,atomic number_A,atomic number_B,atomic number_C,3d,second ionization energy_A,second ionization energy_B,second ionization energy_C,boiling point_A,boiling point_B,boiling point_C,melting point_A,melting point_B,melting point_C
ReO3F,mp-573051,9.06,1,3.283616314,1.814464689,2.172278401,5,5,5,6.945899963,15,0.463059998,1,3,1,53,140,133,1.9,3.44,3.98,137,73,71,186.2,16,18.9,7,16,17,6,2,2,5869,90.2,85.03,3459,54.8,53.5,151,66,57,2,2,2,0,4,5,5,0,0,14.5,141,328,760,1313.9,1681,33,0.22,0.26,705,3.41,3.27,9.7,0.8,0.56,75,8,9,FALSE,1260,3388.3,3374.2,5596,-182.9,-188.12,3186,-218.3,-219.6
ReOF4,mp-622116,6.3,1,5,1.677906342,2.001575458,5,5,5,5.659500122,12,0.47162501,1,1,4,53,140,133,1.9,3.44,3.98,137,73,71,186.2,16,18.9,7,16,17,6,2,2,5869,90.2,85.03,3459,54.8,53.5,151,66,57,2,2,2,0,4,5,5,0,0,14.5,141,328,760,1313.9,1681,33,0.22,0.26,705,3.41,3.27,9.7,0.8,0.56,75,8,9,FALSE,1260,3388.3,3374.2,5596,-182.9,-188.12,3186,-218.3,-219.6
RuOF4,mp-683982,8.13,1,5,1.673941796,1.954637089,5,5,5,5.74090004,24,0.239204168,1,1,4,68,140,133,2.2,3.44,3.98,134,73,71,101,16,18.9,8,16,17,5,2,2,4423,90.2,85.03,2607,54.8,53.5,146,66,57,1,2,2,0,4,5,7,0,0,101.3,141,328,710.2,1313.9,1681,25.7,0.22,0.26,580,3.41,3.27,9.6,0.8,0.56,44,8,9,FALSE,1620,3388.3,3374.2,4150,-182.9,-188.12,2334,-218.3,-219.6
S2I2O11,mp-29492,8.12,1,5,5,1.513853037,3.098930557,2.010245432,5,9.369799614,15,0.624653308,2,2,11,184,220,140,2.58,2.66,3.44,102,133,73,32.1,126.9,16,16,17,16,3,5,2,717.87,457.4,90.2,388.36,386.85,54.8,105,139,66,2,2,2,4,5,4,0,10,0,200,295.2,141,999.6,1008.4,1313.9,1.73,7.76,0.22,9.8,20.9,3.41,2.9,4.7,0.8,16,53,8,FALSE,2252,1845.9,3388.3,444.72,184.3,-182.9,115.21,113.7,-218.3
Sb2BrF15,mp-556436,9.59,1,5,5,1.935889071,5,1.775066337,5,17.62360001,36,0.489544445,2,1,15,76,196,133,2.05,2.96,3.98,138,114,71,121.7,79.9,18.9,15,17,17,5,4,2,1860,332,85.03,903.78,265.8,53.5,139,120,57,2,2,2,3,5,5,10,10,0,103.2,324.6,328,834,1139.9,1681,19.7,5.8,0.26,67,14.8,3.27,6.6,3.05,0.56,51,35,9,FALSE,1594.9,2103,3374.2,1587,59,-188.12,630.63,-7.3,-219.6
Sb2OF8,mp-758899,9.93,1,3.143905678,1.948524057,1.971913752,5,5,5,9.171500206,22,0.416886373,2,1,8,76,140,133,2.05,3.44,3.98,138,73,71,121.7,16,18.9,15,16,17,5,2,2,1860,90.2,85.03,903.78,54.8,53.5,139,66,57,2,2,2,3,4,5,10,0,0,103.2,141,328,834,1313.9,1681,19.7,0.22,0.26,67,3.41,3.27,6.6,0.8,0.56,51,8,9,FALSE,1594.9,3388.3,3374.2,1587,-182.9,-188.12,630.63,-218.3,-219.6
Sb2Pb2S5,mp-504814,5.39,1,5,5,2.743737035,5,2.562586351,5,4.00699997,18,0.222611109,2,2,5,119,76,184,1.8,2.05,2.58,175,138,102,207.2,121.7,32.1,14,15,16,6,5,3,2022,1860,717.87,600.61,903.78,388.36,146,139,105,2,2,2,2,3,4,10,10,0,35.1,103.2,200,715.6,834,999.6,4.77,19.7,1.73,178,67,9.8,6.8,6.6,2.9,82,51,16,FALSE,1450.5,1594.9,2252,1749,1587,444.72,327.46,630.63,115.21
Sb3Au3F22,mp-554764,8.95,1,5,5,1.949007882,5,2.073678971,5,10.9762001,56,0.196003573,3,3,22,76,85,133,2.05,2.4,3.98,138,144,71,121.7,197,18.9,15,11,17,5,6,2,1860,3129,85.03,903.78,1337.33,53.5,139,136,57,2,1,2,3,0,5,10,10,0,103.2,222.8,328,834,890.1,1681,19.7,12.5,0.26,67,330,3.27,6.6,5.8,0.56,51,79,9,FALSE,1594.9,1980,3374.2,1587,2856,-188.12,630.63,1064.18,-219.6
Sb4O5F2,mp-759602,5.76,1,5,2.105607971,2.048687438,5,5,5,5.588200092,44,0.127004548,4,5,2,76,140,133,2.05,3.44,3.98,138,73,71,121.7,16,18.9,15,16,17,5,2,2,1860,90.2,85.03,903.78,54.8,53.5,139,66,57,2,2,2,3,4,5,10,0,0,103.2,141,328,834,1313.9,1681,19.7,0.22,0.26,67,3.41,3.27,6.6,0.8,0.56,51,8,9,FALSE,1594.9,3388.3,3374.2,1587,-182.9,-188.12,630.63,-218.3,-219.6
Sb4S5Cl2,mp-29573,6.09,1,5,2.517047289,2.409790964,5,5,5,9.539699554,22,0.433622707,4,5,2,76,184,181,2.05,2.58,3.16,138,102,99,121.7,32.1,35.4,15,16,17,5,3,3,1860,717.87,239.11,903.78,388.36,171.6,139,105,102,2,2,2,3,4,5,10,0,0,103.2,200,349,834,999.6,1251.2,19.7,1.73,3.2,67,9.8,10.2,6.6,2.9,2.18,51,16,17,FALSE,1594.9,2252,2298,1587,444.72,-34.04,630.63,115.21,-101.5
Sb5O7F,mp-757173,5.77,1,5,2.157093097,2.063918316,5,5,5,4.149499893,26,0.15959615,5,7,1,76,140,133,2.05,3.44,3.98,138,73,71,121.7,16,18.9,15,16,17,5,2,2,1860,90.2,85.03,903.78,54.8,53.5,139,66,57,2,2,2,3,4,5,10,0,0,103.2,141,328,834,1313.9,1681,19.7,0.22,0.26,67,3.41,3.27,6.6,0.8,0.56,51,8,9,FALSE,1594.9,3388.3,3374.2,1587,-182.9,-188.12,630.63,-218.3,-219.6
SbAsF8,mp-27317,9.67,1,5,5,1.941810549,5,1.929358164,5,7.013000011,10,0.701300001,1,1,8,76,58,133,2.05,2.18,3.98,138,119,71,121.7,74.9,18.9,15,15,17,5,4,2,1860,887,85.03,903.78,1090,53.5,139,119,57,2,2,2,3,3,5,10,10,0,103.2,78,328,834,947,1681,19.7,27.7,0.26,67,32.4,3.27,6.6,4.31,0.56,51,33,9,FALSE,1594.9,1798,3374.2,1587,614,-188.12,630.63,817,-219.6
SbI3Cl8,mp-23536,6.92,1,5,5,2.4245844,2.933918097,2.58752035,5,10.81779957,12,0.901483297,1,3,8,76,220,181,2.05,2.66,3.16,138,133,99,121.7,126.9,35.4,15,17,17,5,5,3,1860,457.4,239.11,903.78,386.85,171.6,139,139,102,2,2,2,3,5,5,10,10,0,103.2,295.2,349,834,1008.4,1251.2,19.7,7.76,3.2,67,20.9,10.2,6.6,4.7,2.18,51,53,17,FALSE,1594.9,1845.9,2298,1587,184.3,-34.04,630.63,113.7,-101.5
SbOF,mp-7609,6.81,1,5,2.125058101,1.933060683,5,5,5,4.157400131,6,0.692900022,1,1,1,76,140,133,2.05,3.44,3.98,138,73,71,121.7,16,18.9,15,16,17,5,2,2,1860,90.2,85.03,903.78,54.8,53.5,139,66,57,2,2,2,3,4,5,10,0,0,103.2,141,328,834,1313.9,1681,19.7,0.22,0.26,67,3.41,3.27,6.6,0.8,0.56,51,8,9,FALSE,1594.9,3388.3,3374.2,1587,-182.9,-188.12,630.63,-218.3,-219.6
SbOF3,mp-758096,9.05,1,5,1.902643329,1.997456666,5,5,5,3.76880002,10,0.376880002,1,1,3,76,140,133,2.05,3.44,3.98,138,73,71,121.7,16,18.9,15,16,17,5,2,2,1860,90.2,85.03,903.78,54.8,53.5,139,66,57,2,2,2,3,4,5,10,0,0,103.2,141,328,834,1313.9,1681,19.7,0.22,0.26,67,3.41,3.27,6.6,0.8,0.56,51,8,9,FALSE,1594.9,3388.3,3374.2,1587,-182.9,-188.12,630.63,-218.3,-219.6
SbPS4,mp-572597,6.21,1,5,5,2.574289022,5,2.061553927,5,6.40199995,36,0.177833332,1,1,4,76,17,184,2.05,2.19,2.58,138,106,102,121.7,31,32.1,15,15,16,5,3,3,1860,553.6,717.87,903.78,317.3,388.36,139,107,105,2,2,2,3,3,4,10,0,0,103.2,71,200,834,1011.8,999.6,19.7,0.64,1.73,67,12.4,9.8,6.6,3.63,2.9,51,15,16,FALSE,1594.9,1907,2252,1587,280.5,444.72,630.63,44.2,115.21
SbSBr,mp-22971,6.09,1,5,2.649901181,2.874867526,5,5,5,3.987299919,6,0.664549987,1,1,1,76,184,196,2.05,2.58,2.96,138,102,114,121.7,32.1,79.9,15,16,17,5,3,4,1860,717.87,332,903.78,388.36,265.8,139,105,120,2,2,2,3,4,5,10,0,10,103.2,200,324.6,834,999.6,1139.9,19.7,1.73,5.8,67,9.8,14.8,6.6,2.9,3.05,51,16,35,FALSE,1594.9,2252,2103,1587,444.72,59,630.63,115.21,-7.3
SbSeI,mp-22996,5.7,1,5,2.774618993,3.158304896,5,5,5,4.176400185,6,0.696066697,1,1,1,76,198,220,2.05,2.55,2.66,138,116,133,121.7,78.9,126.9,15,16,17,5,4,5,1860,958,457.4,903.78,494,386.85,139,120,139,2,2,2,3,4,5,10,10,10,103.2,195,295.2,834,941,1008.4,19.7,5.4,7.76,67,26,20.9,6.6,3.77,4.7,51,34,53,FALSE,1594.9,2045,1845.9,1587,685,184.3,630.63,221,113.7
SbSI,mp-23041,5.94,1,5,2.662113135,3.071795028,5,5,5,4.113900185,6,0.685650031,1,1,1,76,184,220,2.05,2.58,2.66,138,102,133,121.7,32.1,126.9,15,16,17,5,3,5,1860,717.87,457.4,903.78,388.36,386.85,139,105,139,2,2,2,3,4,5,10,0,10,103.2,200,295.2,834,999.6,1008.4,19.7,1.73,7.76,67,9.8,20.9,6.6,2.9,4.7,51,16,53,FALSE,1594.9,2252,1845.9,1587,444.72,184.3,630.63,115.21,113.7
SbTeI,mp-28051,5.44,1,5,2.992272237,3.110265292,5,5,5,4.302800179,6,0.717133363,1,1,1,76,221,220,2.05,2.1,2.66,138,135,133,121.7,127.6,126.9,15,16,17,5,5,5,1860,1261,457.4,903.78,722.66,386.85,139,138,139,2,2,2,3,4,5,10,10,10,103.2,190.2,295.2,834,869.3,1008.4,19.7,17.5,7.76,67,48,20.9,6.6,5.5,4.7,51,52,53,FALSE,1594.9,1790,1845.9,1587,988,184.3,630.63,449.51,113.7
Si(PbS2)2,mp-504564,5.05,1,5,5,2.771041281,5,2.14539101,5,6.936900139,14,0.495492867,2,1,4,119,40,184,1.8,1.9,2.58,175,111,102,207.2,28.1,32.1,14,14,16,6,3,3,2022,3173,717.87,600.61,1687,388.36,146,111,105,2,2,2,2,2,4,10,0,0,35.1,133.6,200,715.6,786.5,999.6,4.77,50.2,1.73,178,359,9.8,6.8,5.38,2.9,82,14,16,FALSE,1450.5,1577.1,2252,1749,2900,444.72,327.46,1414,115.21
Sn(CO2)2,mp-542769,6.78,1,5,5,2.272011227,1.556589329,1.267721569,5,8.903499603,14,0.635964257,1,2,4,45,16,140,1.96,2.55,3.44,141,77,73,118.7,12,16,14,14,16,5,2,2,2875,4300,90.2,505.08,3823,54.8,139,76,66,2,2,2,2,2,4,10,0,0,107.3,153.9,141,708.6,1086.5,1313.9,7,105,0.22,290,715,3.41,7.7,1.76,0.8,50,6,8,FALSE,1411.8,2352.6,3388.3,2602,4027,-182.9,231.93,3550,-218.3
Sn2OF2,mp-27480,5.75,1,5,2.12645274,2.236143763,5,5,5,5.21600008,10,0.521600008,2,1,2,45,140,133,1.96,3.44,3.98,141,73,71,118.7,16,18.9,14,16,17,5,2,2,2875,90.2,85.03,505.08,54.8,53.5,139,66,57,2,2,2,2,4,5,10,0,0,107.3,141,328,708.6,1313.9,1681,7,0.22,0.26,290,3.41,3.27,7.7,0.8,0.56,50,8,9,FALSE,1411.8,3388.3,3374.2,2602,-182.9,-188.12,231.93,-218.3,-219.6
Sn2Sb2S5,mp-17835,5.47,1,5,5,2.716321928,5,2.566021674,5,3.968899965,18,0.220494443,2,2,5,45,76,184,1.96,2.05,2.58,141,138,102,118.7,121.7,32.1,14,15,16,5,5,3,2875,1860,717.87,505.08,903.78,388.36,139,139,105,2,2,2,2,3,4,10,10,0,107.3,103.2,200,708.6,834,999.6,7,19.7,1.73,290,67,9.8,7.7,6.6,2.9,50,51,16,FALSE,1411.8,1594.9,2252,2602,1587,444.72,231.93,630.63,115.21
Sn3(OF)2,mp-753246,5.91,1,5,2.243968115,2.055841786,5,5,5,5.48029995,14,0.391449996,3,2,2,45,140,133,1.96,3.44,3.98,141,73,71,118.7,16,18.9,14,16,17,5,2,2,2875,90.2,85.03,505.08,54.8,53.5,139,66,57,2,2,2,2,4,5,10,0,0,107.3,141,328,708.6,1313.9,1681,7,0.22,0.26,290,3.41,3.27,7.7,0.8,0.56,50,8,9,FALSE,1411.8,3388.3,3374.2,2602,-182.9,-188.12,231.93,-218.3,-219.6
SnClF,mp-27373,7,1,5,2.39211988,2.319610712,5,5,5,4.381800175,6,0.730300029,1,1,1,45,181,133,1.96,3.16,3.98,141,99,71,118.7,35.4,18.9,14,17,17,5,3,2,2875,239.11,85.03,505.08,171.6,53.5,139,102,57,2,2,2,2,5,5,10,0,0,107.3,349,328,708.6,1251.2,1681,7,3.2,0.26,290,10.2,3.27,7.7,2.18,0.56,50,17,9,FALSE,1411.8,2298,3374.2,2602,-34.04,-188.12,231.93,-101.5,-219.6
SnICl,mp-571146,6.5,1,5,3.018481482,2.389047093,5,5,5,4.374000073,3,1.458000024,1,1,1,45,220,181,1.96,2.66,3.16,141,133,99,118.7,126.9,35.4,14,17,17,5,5,3,2875,457.4,239.11,505.08,386.85,171.6,139,139,102,2,2,2,2,5,5,10,10,0,107.3,295.2,349,708.6,1008.4,1251.2,7,7.76,3.2,290,20.9,10.2,7.7,4.7,2.18,50,53,17,FALSE,1411.8,1845.9,2298,2602,184.3,-34.04,231.93,113.7,-101.5
SnP7Au3,mp-3245,4.88,1,5,2.632378205,3.076549076,2.16381305,2.508455615,5,6.389500141,11,0.580863649,1,7,3,45,17,85,1.96,2.19,2.4,141,106,144,118.7,31,197,14,15,11,5,3,6,2875,553.6,3129,505.08,317.3,1337.33,139,107,136,2,2,1,2,3,0,10,0,10,107.3,71,222.8,708.6,1011.8,890.1,7,0.64,12.5,290,12.4,330,7.7,3.63,5.8,50,15,79,FALSE,1411.8,1907,1980,2602,280.5,2856,231.93,44.2,1064.18
SnPS3,mp-13923,5.81,1,5,5,2.63900522,2.289576734,2.047078618,5,6.650899887,10,0.665089989,1,1,3,45,17,184,1.96,2.19,2.58,141,106,102,118.7,31,32.1,14,15,16,5,3,3,2875,553.6,717.87,505.08,317.3,388.36,139,107,105,2,2,2,2,3,4,10,0,0,107.3,71,200,708.6,1011.8,999.6,7,0.64,1.73,290,12.4,9.8,7.7,3.63,2.9,50,15,16,FALSE,1411.8,1907,2252,2602,280.5,444.72,231.93,44.2,115.21
SnSO4,mp-645740,7.35,1,5,5,2.17208218,5,1.50067595,5,5.227099896,12,0.435591658,1,1,4,45,184,140,1.96,2.58,3.44,141,102,73,118.7,32.1,16,14,16,16,5,3,2,2875,717.87,90.2,505.08,388.36,54.8,139,105,66,2,2,2,2,4,4,10,0,0,107.3,200,141,708.6,999.6,1313.9,7,1.73,0.22,290,9.8,3.41,7.7,2.9,0.8,50,16,8,FALSE,1411.8,2252,3388.3,2602,444.72,-182.9,231.93,115.21,-218.3
Ta4SiTe4,mp-28509,4.67,1,3.074436923,2.59596911,2.898764825,2.413199902,5,5,4.826399803,18,0.268133322,4,1,4,64,40,221,1.5,1.9,2.1,146,111,135,180.9,28.1,127.6,5,14,16,6,3,5,5731,3173,1261,3290,1687,722.66,170,111,138,2,2,2,0,2,4,3,0,10,31,133.6,190.2,761,786.5,869.3,36,50.2,17.5,736,359,48,13.1,5.38,5.5,73,14,52,FALSE,1500,1577.1,1790,5458,2900,988,3017,1414,449.51
TaPbF7,mp-557163,8.18,1,5,3.384952156,1.93707624,5,2.214432501,5,6.861400127,9,0.762377792,1,1,7,64,119,133,1.5,1.8,3.98,146,175,71,180.9,207.2,18.9,5,14,17,6,6,2,5731,2022,85.03,3290,600.61,53.5,170,146,57,2,2,2,0,2,5,3,10,0,31,35.1,328,761,715.6,1681,36,4.77,0.26,736,178,3.27,13.1,6.8,0.56,73,82,9,FALSE,1500,1450.5,3374.2,5458,1749,-188.12,3017,327.46,-219.6
TaTlSe3,mp-12027,4.93,1,5,5,2.617014442,5,3.00248566,5,3.650599957,10,0.365059996,1,1,3,64,159,198,1.5,1.8,2.55,146,170,116,180.9,204.4,78.9,5,13,16,6,6,4,5731,1746,958,3290,577,494,170,145,120,2,2,2,0,1,4,3,10,10,31,19.2,195,761,589.4,941,36,4.2,5.4,736,165,26,13.1,7.5,3.77,73,81,34,FALSE,1500,1971,2045,5458,1473,685,3017,304,221
Te4MoBr,mp-29190,5.46,1,2.794451938,2.83032681,2.725095097,2.984506785,5,5,6.893400192,12,0.574450016,4,1,1,221,59,196,2.1,2.16,2.96,135,139,114,127.6,95.9,79.9,16,6,17,5,5,4,1261,4912,332,722.66,2896,265.8,138,154,120,2,1,2,4,0,5,10,5,10,190.2,71.9,324.6,869.3,684.3,1139.9,17.5,36,5.8,48,600,14.8,5.5,12.8,3.05,52,42,35,FALSE,1790,1560,2103,988,4639,59,449.51,2623,-7.3
TePbF6,mp-29178,7.92,1,5,5,2.37300027,5,2.003118314,5,4.748300076,16,0.296768755,1,1,6,119,221,133,1.8,2.1,3.98,175,135,71,207.2,127.6,18.9,14,16,17,6,5,2,2022,1261,85.03,600.61,722.66,53.5,146,138,57,2,2,2,2,4,5,10,10,0,35.1,190.2,328,715.6,869.3,1681,4.77,17.5,0.26,178,48,3.27,6.8,5.5,0.56,82,52,9,FALSE,1450.5,1790,3374.2,1749,988,-188.12,327.46,449.51,-219.6
Tl2CN2,mp-570443,4.28,1,5,5,2.528350547,5,1.240161935,5,5.416699886,10,0.541669989,2,1,2,159,16,16,1.8,2.55,3.04,170,77,75,204.4,12,14,13,14,15,6,2,2,1746,4300,77.36,577,3823,63.05,145,76,71,2,2,2,1,2,3,10,0,0,19.2,153.9,7,589.4,1086.5,1402.3,4.2,105,0.36,165,715,2.79,7.5,1.76,1.1,81,6,7,FALSE,1971,2352.6,2856,1473,4027,-195.79,304,3550,-210.1
Tl2PdSe2,mp-28954,4.44,1,5,2.988262392,3.064850386,5,2.501677876,5,3.744299889,5,0.748859978,2,1,2,159,64,198,1.8,2.2,2.55,170,137,116,204.4,106.4,78.9,13,10,16,6,5,4,1746,3236,958,577,1828.05,494,145,139,120,2,0,2,1,0,4,10,10,10,19.2,53.7,195,589.4,804.4,941,4.2,16.7,5.4,165,380,26,7.5,4.8,3.77,81,46,34,FALSE,1971,1870,2045,1473,2963,685,304,1554.9,221
Tl2TeO3,mp-543028,5.17,1,5,5,2.486382019,5,1.89623392,5,5.361599922,12,0.446799994,2,1,3,159,221,140,1.8,2.1,3.44,170,135,73,204.4,127.6,16,13,16,16,6,5,2,1746,1261,90.2,577,722.66,54.8,145,138,66,2,2,2,1,4,4,10,10,0,19.2,190.2,141,589.4,869.3,1313.9,4.2,17.5,0.22,165,48,3.41,7.5,5.5,0.8,81,52,8,FALSE,1971,1790,3388.3,1473,988,-182.9,304,449.51,-218.3
Tl4Bi2S5,mp-23408,4.94,1,5,5,2.876587248,5,2.748092609,5,4.157899857,11,0.377990896,4,2,5,159,103,184,1.8,1.9,2.58,170,146,102,204.4,209,32.1,13,15,16,6,6,3,1746,1837,717.87,577,544.4,388.36,145,148,105,2,2,2,1,3,4,10,10,0,19.2,91.2,200,589.4,703,999.6,4.2,10.9,1.73,165,160,9.8,7.5,7.4,2.9,81,83,16,FALSE,1971,1610,2252,1473,1564,444.72,304,271.3,115.21
TlSbSe2,mp-567318,4.82,1,5,5,3.096453379,5,2.865392963,5,4.161399841,8,0.52017498,1,1,2,159,76,198,1.8,2.05,2.55,170,138,116,204.4,121.7,78.9,13,15,16,6,5,4,1746,1860,958,577,903.78,494,145,139,120,2,2,2,1,3,4,10,10,10,19.2,103.2,195,589.4,834,941,4.2,19.7,5.4,165,67,26,7.5,6.6,3.77,81,51,34,FALSE,1971,1594.9,2045,1473,1587,685,304,630.63,221
W2NCl8,mp-570568,5.74,1,3.656088082,1.82804406,2.398029674,5,5,5,7.03000021,11,0.639090928,2,1,8,60,16,181,1.7,3.04,3.16,139,75,99,183.8,14,35.4,6,15,17,6,2,3,5828,77.36,239.11,3695,63.05,171.6,162,71,102,2,2,2,0,3,5,4,0,0,78.6,7,349,770,1402.3,1251.2,35,0.36,3.2,800,2.79,10.2,11.1,1.1,2.18,74,7,17,FALSE,1700,2856,2298,5555,-195.79,-34.04,3422,-210.1,-101.5
W2OF8,mp-765097,6.1,1,2.484097956,1.885261124,1.956523017,5,5,5,8.976200104,22,0.408009096,2,1,8,60,140,133,1.7,3.44,3.98,139,73,71,183.8,16,18.9,6,16,17,6,2,2,5828,90.2,85.03,3695,54.8,53.5,162,66,57,2,2,2,0,4,5,4,0,0,78.6,141,328,770,1313.9,1681,35,0.22,0.26,800,3.41,3.27,11.1,0.8,0.56,74,8,9,FALSE,1700,3388.3,3374.2,5555,-182.9,-188.12,3422,-218.3,-219.6
WCl3O,mp-565978,6.74,1,3.019590462,2.377680568,1.897529588,5,5,5,3.786600113,10,0.378660011,1,3,1,60,181,140,1.7,3.16,3.44,139,99,73,183.8,35.4,16,6,17,16,6,3,2,5828,239.11,90.2,3695,171.6,54.8,162,102,66,2,2,2,0,5,4,4,0,0,78.6,349,141,770,1251.2,1313.9,35,3.2,0.22,800,10.2,3.41,11.1,2.18,0.8,74,17,8,FALSE,1700,2298,3388.3,5555,-34.04,-182.9,3422,-101.5,-218.3
WOF4,mp-765135,9.98,1,5,1.991700054,1.86837881,5,5,5,3.983400106,6,0.663900018,1,1,4,60,140,133,1.7,3.44,3.98,139,73,71,183.8,16,18.9,6,16,17,6,2,2,5828,90.2,85.03,3695,54.8,53.5,162,66,57,2,2,2,0,4,5,4,0,0,78.6,141,328,770,1313.9,1681,35,0.22,0.26,800,3.41,3.27,11.1,0.8,0.56,74,8,9,FALSE,1700,3388.3,3374.2,5555,-182.9,-188.12,3422,-218.3,-219.6
Zn(HO)2,mp-625272,5.82,1,5,5,1.981095411,5,0.972586756,5,3.34100008,15,0.222733339,1,2,2,74,37,140,1.65,2.2,3.44,134,53,73,65.4,1,16,12,1,16,4,1,2,1180,20.28,90.2,692.68,14.01,54.8,122,31,66,2,1,2,0,0,4,10,0,0,0,72.8,141,906.4,1312,1313.9,7.35,0.56,0.22,119,0.45,3.41,5.6,0.67,0.8,30,1,8,FALSE,1733.3,1312,3388.3,907,-252.87,-182.9,419.53,-259.14,-218.3
Zr(PS3)2,mp-8203,5.73,1,5,5,2.714281086,5,2.048491794,5,9.499667721,18,0.527759318,1,2,6,84,17,184,1.33,2.19,2.58,160,106,102,91.2,31,32.1,4,15,16,5,3,3,4682,553.6,717.87,2128,317.3,388.36,175,107,105,2,2,2,0,3,4,2,0,0,41.1,71,200,640.1,1011.8,999.6,21,0.64,1.73,580,12.4,9.8,17.9,3.63,2.9,40,15,16,FALSE,1270,1907,2252,4409,280.5,444.72,1855,44.2,115.21
ZrPbS3,mp-20244,5.06,1,3.734909989,5,2.595658961,5,2.678242418,5,3.808300018,10,0.380830002,1,1,3,84,119,184,1.33,1.8,2.58,160,175,102,91.2,207.2,32.1,4,14,16,5,6,3,4682,2022,717.87,2128,600.61,388.36,175,146,105,2,2,2,0,2,4,2,10,0,41.1,35.1,200,640.1,715.6,999.6,21,4.77,1.73,580,178,9.8,17.9,6.8,2.9,40,82,16,FALSE,1270,1450.5,2252,4409,1749,444.72,1855,327.46,115.21
ZrSnCl6,mp-29018,7.02,1,5,5,2.50445499,5,2.673088476,5,6.670700073,24,0.277945836,1,1,6,84,45,181,1.33,1.96,3.16,160,141,99,91.2,118.7,35.4,4,14,17,5,5,3,4682,2875,239.11,2128,505.08,171.6,175,139,102,2,2,2,0,2,5,2,10,0,41.1,107.3,349,640.1,708.6,1251.2,21,7,3.2,580,290,10.2,17.9,7.7,2.18,40,50,17,FALSE,1270,1411.8,2298,4409,2602,-34.04,1855,231.93,-101.5
ZrSnS3,mp-17324,5.54,1,3.716544936,5,2.589204272,5,2.594909971,5,3.747900009,10,0.374790001,1,1,3,84,45,184,1.33,1.96,2.58,160,141,102,91.2,118.7,32.1,4,14,16,5,5,3,4682,2875,717.87,2128,505.08,388.36,175,139,105,2,2,2,0,2,4,2,10,0,41.1,107.3,200,640.1,708.6,999.6,21,7,1.73,580,290,9.8,17.9,7.7,2.9,40,50,16,FALSE,1270,1411.8,2252,4409,2602,444.72,1855,231.93,115.21
